1####Atlantic Life Insurance####120 Barrington St, Halifax####@@@@
2####Maritime Health Protect####45 Queen St, Dartmouth####@@@@
3####NovaCare Insurance Group####200 Pleasant St, Dartmouth####@@@@
4####East Coast Medical Insurance####78 Regent St, Truro####@@@@
5####Harbour Health Coverage####15 Prince St, Sydney####@@@@
6####Blue Shore Insurance####300 Hollis St, Halifax####@@@@
7####Acadian Wellness Insurance####89 Main St, Yarmouth####@@@@
8####TrueNorth Health Insurance####33 Cunard St, Stellarton####@@@@
9####Provincial Care Assurance####400 Quinpool Rd, Halifax####@@@@
10####Maple Leaf Medical Insurance####50 Portland St, Dartmouth####@@@@
11####Provider_11####972 Oak St, City X####@@@@
12####Provider_12####514 Maple St, City W####@@@@
13####Provider_13####380 Cedar St, City N####@@@@
14####Provider_14####821 Maple St, City O####@@@@
15####Provider_15####859 Elm St, City O####@@@@
16####Provider_16####833 Cedar St, City T####@@@@
17####Provider_17####43 Maple St, City J####@@@@
18####Provider_18####496 Birch St, City E####@@@@
19####Provider_19####122 Cedar St, City C####@@@@
20####Provider_20####233 Pine St, City D####@@@@
21####Provider_21####336 Maple St, City W####@@@@
22####Provider_22####553 Oak St, City X####@@@@
23####Provider_23####629 Birch St, City X####@@@@
24####Provider_24####499 Oak St, City Q####@@@@
25####Provider_25####579 Cedar St, City Y####@@@@
26####Provider_26####248 Birch St, City L####@@@@
27####Provider_27####419 Birch St, City J####@@@@
28####Provider_28####839 Elm St, City Z####@@@@
29####Provider_29####508 Elm St, City Z####@@@@
30####Provider_30####948 Elm St, City P####@@@@
31####Provider_31####722 Elm St, City S####@@@@
32####Provider_32####455 Pine St, City I####@@@@
33####Provider_33####285 Maple St, City H####@@@@
34####Provider_34####463 Pine St, City Z####@@@@
35####Provider_35####666 Elm St, City B####@@@@
36####Provider_36####650 Elm St, City C####@@@@
37####Provider_37####471 Cedar St, City K####@@@@
38####Provider_38####209 Cedar St, City Z####@@@@
39####Provider_39####933 Pine St, City F####@@@@
40####Provider_40####204 Birch St, City Z####@@@@
41####Provider_41####272 Cedar St, City U####@@@@
42####Provider_42####630 Cedar St, City A####@@@@
43####Provider_43####511 Pine St, City U####@@@@
44####Provider_44####190 Cedar St, City A####@@@@
45####Provider_45####562 Elm St, City V####@@@@
46####Provider_46####607 Pine St, City Y####@@@@
47####Provider_47####540 Elm St, City P####@@@@
48####Provider_48####764 Cedar St, City R####@@@@
49####Provider_49####41 Oak St, City S####@@@@
50####Provider_50####835 Cedar St, City O####@@@@
51####Provider_51####449 Cedar St, City X####@@@@
52####Provider_52####276 Birch St, City V####@@@@
53####Provider_53####299 Elm St, City P####@@@@
54####Provider_54####45 Elm St, City L####@@@@
55####Provider_55####823 Birch St, City M####@@@@
56####Provider_56####337 Cedar St, City Z####@@@@
57####Provider_57####732 Oak St, City O####@@@@
58####Provider_58####19 Maple St, City J####@@@@
59####Provider_59####79 Cedar St, City W####@@@@
60####Provider_60####506 Cedar St, City T####@@@@
61####Provider_61####775 Maple St, City F####@@@@
62####Provider_62####228 Pine St, City Z####@@@@
63####Provider_63####354 Cedar St, City X####@@@@
64####Provider_64####994 Birch St, City A####@@@@
65####Provider_65####965 Birch St, City M####@@@@
66####Provider_66####612 Pine St, City X####@@@@
67####Provider_67####814 Maple St, City H####@@@@
68####Provider_68####28 Cedar St, City O####@@@@
69####Provider_69####333 Pine St, City N####@@@@
70####Provider_70####506 Elm St, City O####@@@@
71####Provider_71####612 Oak St, City E####@@@@
72####Provider_72####324 Birch St, City J####@@@@
73####Provider_73####772 Oak St, City L####@@@@
74####Provider_74####283 Birch St, City B####@@@@
75####Provider_75####863 Elm St, City Q####@@@@
76####Provider_76####983 Birch St, City Q####@@@@
77####Provider_77####128 Elm St, City Y####@@@@
78####Provider_78####616 Oak St, City M####@@@@
79####Provider_79####820 Cedar St, City C####@@@@
80####Provider_80####365 Birch St, City W####@@@@
81####Provider_81####820 Oak St, City D####@@@@
82####Provider_82####568 Maple St, City K####@@@@
83####Provider_83####792 Maple St, City T####@@@@
84####Provider_84####842 Maple St, City H####@@@@
85####Provider_85####45 Birch St, City E####@@@@
86####Provider_86####373 Oak St, City N####@@@@
87####Provider_87####765 Elm St, City F####@@@@
88####Provider_88####450 Pine St, City C####@@@@
89####Provider_89####287 Maple St, City V####@@@@
90####Provider_90####898 Oak St, City V####@@@@
91####Provider_91####406 Maple St, City A####@@@@
92####Provider_92####821 Pine St, City R####@@@@
93####Provider_93####460 Birch St, City M####@@@@
94####Provider_94####748 Pine St, City V####@@@@
95####Provider_95####232 Maple St, City Y####@@@@
96####Provider_96####737 Pine St, City Q####@@@@
97####Provider_97####703 Maple St, City B####@@@@
98####Provider_98####402 Maple St, City F####@@@@
99####Provider_99####144 Maple St, City B####@@@@
100####Provider_100####4 Maple St, City U####@@@@
101####Provider_101####294 Pine St, City X####@@@@
102####Provider_102####125 Maple St, City A####@@@@
103####Provider_103####788 Birch St, City P####@@@@
104####Provider_104####754 Birch St, City S####@@@@
105####Provider_105####139 Birch St, City K####@@@@
106####Provider_106####41 Birch St, City V####@@@@
107####Provider_107####445 Pine St, City D####@@@@
108####Provider_108####745 Birch St, City E####@@@@
109####Provider_109####318 Oak St, City C####@@@@
110####Provider_110####649 Cedar St, City I####@@@@
111####Provider_111####932 Maple St, City T####@@@@
112####Provider_112####50 Birch St, City Y####@@@@
113####Provider_113####67 Birch St, City T####@@@@
114####Provider_114####562 Birch St, City E####@@@@
115####Provider_115####731 Elm St, City E####@@@@
116####Provider_116####962 Birch St, City T####@@@@
117####Provider_117####809 Elm St, City X####@@@@
118####Provider_118####689 Cedar St, City I####@@@@
119####Provider_119####857 Elm St, City D####@@@@
