1####1####Downtown Dental####Dental####456 Elm St, Halifax####@@@@
2####1####Downtown Eye Care####Ophthalmology####456 Elm St, Halifax####@@@@
3####3####Bedford Family Clinic####General Practice####12 Shore Dr, Bedford####@@@@
4####4####Dartmouth Allergy Clinic####Allergy & Immunology####88 Maple Rd, Dartmouth####@@@@
5####5####Halifax Women's Health####Gynecology####210 Willow St, Halifax####@@@@
6####6####Truro Walk-In Clinic####Walk-In####34 Prince St, Truro####@@@@
7####7####Sydney OrthoCare####Orthopedics####78 Kings Rd, Sydney####@@@@
8####8####Halifax Heart & Vascular####Cardiology####95 Summer St, Halifax####@@@@
9####9####Cole Harbour Wellness Clinic####Physiotherapy####51 Forest Hills Pkwy, Cole Harbour####@@@@
10####10####North End Family Medicine####Family Medicine####600 Gottingen St, Halifax####@@@@
11####906####Clinic_11####Type_1####540 Pine St, City A####@@@@
12####851####Clinic_12####Type_2####304 Pine St, City M####@@@@
13####778####Clinic_13####Type_3####940 Maple St, City E####@@@@
14####125####Clinic_14####Type_4####142 Oak St, City X####@@@@
15####203####Clinic_15####Type_0####411 Maple St, City Y####@@@@
16####181####Clinic_16####Type_1####474 Birch St, City P####@@@@
17####44####Clinic_17####Type_2####212 Elm St, City P####@@@@
18####351####Clinic_18####Type_3####717 Pine St, City S####@@@@
19####601####Clinic_19####Type_4####897 Pine St, City X####@@@@
20####214####Clinic_20####Type_0####330 Pine St, City M####@@@@
21####649####Clinic_21####Type_1####378 Cedar St, City D####@@@@
22####408####Clinic_22####Type_2####934 Birch St, City R####@@@@
23####992####Clinic_23####Type_3####663 Birch St, City I####@@@@
24####171####Clinic_24####Type_4####422 Pine St, City W####@@@@
25####711####Clinic_25####Type_0####224 Birch St, City H####@@@@
26####907####Clinic_26####Type_1####375 Maple St, City X####@@@@
27####471####Clinic_27####Type_2####222 Maple St, City O####@@@@
28####943####Clinic_28####Type_3####618 Pine St, City J####@@@@
29####438####Clinic_29####Type_4####293 Oak St, City J####@@@@
30####700####Clinic_30####Type_0####253 Elm St, City R####@@@@
31####539####Clinic_31####Type_1####127 Elm St, City A####@@@@
32####170####Clinic_32####Type_2####597 Maple St, City Q####@@@@
33####584####Clinic_33####Type_3####515 Pine St, City N####@@@@
34####501####Clinic_34####Type_4####941 Pine St, City P####@@@@
35####681####Clinic_35####Type_0####351 Maple St, City L####@@@@
