1####Halifax General Hospital####Hospital####1796 Summer St, Halifax, NS####@@@@
2####Halifax West Health Clinic####Clinic####7071 Bayers Rd, Halifax, NS####@@@@
3####Dalhousie Medical Centre####Hospital####6299 South St, Halifax, NS####@@@@
4####Bedford Community Health Centre####Clinic####230 Gary Martin Dr, Bedford, NS####@@@@
5####Dartmouth Waterfront Health Centre####Clinic####40 Alderney Dr, Dartmouth, NS####@@@@
6####Cape Breton Regional Hospital####Hospital####1482 George St, Sydney, NS####@@@@
7####Truro Regional Hospital####Hospital####207 Willow St, Truro, NS####@@@@
8####New Glasgow Health Clinic####Clinic####794 E River Rd, New Glasgow, NS####@@@@
9####Halifax Heart Institute####Hospital####5980 University Ave, Halifax, NS####@@@@
10####Dartmouth Surgical Centre####Clinic####144 Portland St, Dartmouth, NS####@@@@
11####Facility_11####Clinic####216 Pine St, City Z####@@@@
12####Facility_12####Hospital####186 Pine St, City R####@@@@
13####Facility_13####Clinic####778 Elm St, City C####@@@@
14####Facility_14####Hospital####82 Oak St, City R####@@@@
15####Facility_15####Clinic####279 Pine St, City C####@@@@
16####Facility_16####Hospital####637 Birch St, City J####@@@@
17####Facility_17####Clinic####600 Maple St, City G####@@@@
18####Facility_18####Hospital####270 Maple St, City R####@@@@
19####Facility_19####Clinic####125 Cedar St, City G####@@@@
20####Facility_20####Hospital####865 Birch St, City D####@@@@
21####Facility_21####Clinic####32 Birch St, City C####@@@@
22####Facility_22####Hospital####262 Maple St, City I####@@@@
23####Facility_23####Clinic####15 Pine St, City X####@@@@
24####Facility_24####Hospital####642 Pine St, City R####@@@@
25####Facility_25####Clinic####261 Birch St, City H####@@@@
26####Facility_26####Hospital####199 Cedar St, City M####@@@@
27####Facility_27####Clinic####189 Oak St, City Q####@@@@
28####Facility_28####Hospital####721 Pine St, City K####@@@@
29####Facility_29####Clinic####4 Elm St, City X####@@@@
30####Facility_30####Hospital####670 Oak St, City F####@@@@
31####Facility_31####Clinic####551 Elm St, City E####@@@@
32####Facility_32####Hospital####553 Birch St, City M####@@@@
33####Facility_33####Clinic####255 Cedar St, City T####@@@@
34####Facility_34####Hospital####772 Cedar St, City M####@@@@
35####Facility_35####Clinic####890 Pine St, City U####@@@@
36####Facility_36####Hospital####574 Elm St, City O####@@@@
37####Facility_37####Clinic####211 Cedar St, City U####@@@@
38####Facility_38####Hospital####508 Elm St, City H####@@@@
39####Facility_39####Clinic####619 Cedar St, City H####@@@@
40####Facility_40####Hospital####511 Oak St, City W####@@@@
41####Facility_41####Clinic####433 Oak St, City H####@@@@
42####Facility_42####Hospital####953 Pine St, City V####@@@@
43####Facility_43####Clinic####907 Oak St, City B####@@@@
44####Facility_44####Hospital####137 Cedar St, City Y####@@@@
45####Facility_45####Clinic####633 Maple St, City G####@@@@
46####Facility_46####Hospital####620 Birch St, City J####@@@@
47####Facility_47####Clinic####654 Pine St, City A####@@@@
48####Facility_48####Hospital####931 Pine St, City K####@@@@
49####Facility_49####Clinic####641 Elm St, City T####@@@@
50####Facility_50####Hospital####794 Pine St, City L####@@@@
51####Facility_51####Clinic####827 Pine St, City H####@@@@
52####Facility_52####Hospital####155 Cedar St, City G####@@@@
53####Facility_53####Clinic####217 Cedar St, City E####@@@@
54####Facility_54####Hospital####913 Pine St, City H####@@@@
55####Facility_55####Clinic####936 Maple St, City W####@@@@
56####Facility_56####Hospital####124 Elm St, City W####@@@@
57####Facility_57####Clinic####230 Maple St, City U####@@@@
58####Facility_58####Hospital####947 Pine St, City P####@@@@
59####Facility_59####Clinic####344 Cedar St, City O####@@@@
60####Facility_60####Hospital####133 Elm St, City D####@@@@
61####Facility_61####Clinic####881 Oak St, City W####@@@@
62####Facility_62####Hospital####194 Birch St, City D####@@@@
63####Facility_63####Clinic####661 Elm St, City P####@@@@
64####Facility_64####Hospital####246 Elm St, City L####@@@@
65####Facility_65####Clinic####286 Oak St, City G####@@@@
66####Facility_66####Hospital####415 Oak St, City S####@@@@
67####Facility_67####Clinic####273 Cedar St, City F####@@@@
68####Facility_68####Hospital####98 Oak St, City X####@@@@
69####Facility_69####Clinic####193 Cedar St, City J####@@@@
70####Facility_70####Hospital####30 Pine St, City X####@@@@
71####Facility_71####Clinic####509 Maple St, City S####@@@@
72####Facility_72####Hospital####265 Birch St, City C####@@@@
73####Facility_73####Clinic####201 Oak St, City S####@@@@
74####Facility_74####Hospital####628 Elm St, City K####@@@@
75####Facility_75####Clinic####158 Birch St, City V####@@@@
76####Facility_76####Hospital####679 Pine St, City Q####@@@@
77####Facility_77####Clinic####185 Pine St, City Y####@@@@
78####Facility_78####Hospital####623 Pine St, City C####@@@@
79####Facility_79####Clinic####45 Maple St, City F####@@@@
80####Facility_80####Hospital####509 Elm St, City Z####@@@@
81####Facility_81####Clinic####628 Elm St, City G####@@@@
82####Facility_82####Hospital####641 Birch St, City M####@@@@
83####Facility_83####Clinic####838 Oak St, City O####@@@@
84####Facility_84####Hospital####922 Birch St, City N####@@@@
85####Facility_85####Clinic####402 Oak St, City F####@@@@
86####Facility_86####Hospital####920 Oak St, City E####@@@@
87####Facility_87####Clinic####404 Elm St, City H####@@@@
88####Facility_88####Hospital####716 Birch St, City M####@@@@
89####Facility_89####Clinic####185 Oak St, City Y####@@@@
90####Facility_90####Hospital####837 Oak St, City Y####@@@@
91####Facility_91####Clinic####542 Cedar St, City Z####@@@@
92####Facility_92####Hospital####385 Birch St, City H####@@@@
93####Facility_93####Clinic####292 Maple St, City V####@@@@
94####Facility_94####Hospital####784 Birch St, City Y####@@@@
95####Facility_95####Clinic####405 Elm St, City X####@@@@
96####Facility_96####Hospital####796 Elm St, City N####@@@@
97####Facility_97####Clinic####491 Birch St, City Z####@@@@
98####Facility_98####Hospital####631 Maple St, City S####@@@@
99####Facility_99####Clinic####375 Birch St, City I####@@@@
100####Facility_100####Hospital####142 Elm St, City P####@@@@
101####Facility_101####Clinic####425 Birch St, City W####@@@@
102####Facility_102####Hospital####217 Pine St, City Q####@@@@
103####Facility_103####Clinic####503 Pine St, City H####@@@@
104####Facility_104####Hospital####258 Elm St, City M####@@@@
105####Facility_105####Clinic####501 Oak St, City N####@@@@
106####Facility_106####Hospital####433 Maple St, City R####@@@@
107####Facility_107####Clinic####126 Pine St, City Q####@@@@
108####Facility_108####Hospital####52 Birch St, City U####@@@@
109####Facility_109####Clinic####258 Cedar St, City P####@@@@
110####Facility_110####Hospital####104 Birch St, City D####@@@@
111####Facility_111####Clinic####345 Cedar St, City D####@@@@
112####Facility_112####Hospital####869 Cedar St, City D####@@@@
113####Facility_113####Clinic####421 Pine St, City A####@@@@
114####Facility_114####Hospital####344 Birch St, City L####@@@@
115####Facility_115####Clinic####960 Birch St, City G####@@@@
116####Facility_116####Hospital####123 Elm St, City G####@@@@
117####Facility_117####Clinic####251 Cedar St, City K####@@@@
118####Facility_118####Hospital####211 Pine St, City O####@@@@
119####Facility_119####Clinic####597 Maple St, City Z####@@@@
120####Facility_120####Hospital####998 Pine St, City L####@@@@
121####Facility_121####Clinic####452 Maple St, City E####@@@@
122####Facility_122####Hospital####662 Oak St, City L####@@@@
123####Facility_123####Clinic####128 Pine St, City B####@@@@
124####Facility_124####Hospital####608 Oak St, City H####@@@@
125####Facility_125####Clinic####570 Birch St, City R####@@@@
126####Facility_126####Hospital####400 Maple St, City R####@@@@
127####Facility_127####Clinic####573 Cedar St, City Z####@@@@
128####Facility_128####Hospital####546 Pine St, City K####@@@@
129####Facility_129####Clinic####308 Elm St, City W####@@@@
130####Facility_130####Hospital####125 Pine St, City V####@@@@
131####Facility_131####Clinic####136 Oak St, City Y####@@@@
132####Facility_132####Hospital####978 Elm St, City Z####@@@@
133####Facility_133####Clinic####829 Pine St, City Y####@@@@
134####Facility_134####Hospital####110 Birch St, City Q####@@@@
135####Facility_135####Clinic####131 Maple St, City Y####@@@@
136####Facility_136####Hospital####282 Cedar St, City T####@@@@
137####Facility_137####Clinic####691 Maple St, City Q####@@@@
138####Facility_138####Hospital####793 Cedar St, City O####@@@@
139####Facility_139####Clinic####862 Maple St, City M####@@@@
140####Facility_140####Hospital####866 Pine St, City S####@@@@
141####Facility_141####Clinic####49 Elm St, City H####@@@@
142####Facility_142####Hospital####427 Oak St, City D####@@@@
143####Facility_143####Clinic####226 Oak St, City Z####@@@@
144####Facility_144####Hospital####420 Elm St, City M####@@@@
145####Facility_145####Clinic####979 Elm St, City D####@@@@
146####Facility_146####Hospital####617 Elm St, City R####@@@@
147####Facility_147####Clinic####982 Cedar St, City K####@@@@
148####Facility_148####Hospital####540 Oak St, City K####@@@@
149####Facility_149####Clinic####700 Pine St, City N####@@@@
150####Facility_150####Hospital####702 Pine St, City X####@@@@
151####Facility_151####Clinic####388 Cedar St, City I####@@@@
152####Facility_152####Hospital####115 Elm St, City C####@@@@
153####Facility_153####Clinic####826 Maple St, City Z####@@@@
154####Facility_154####Hospital####211 Elm St, City L####@@@@
155####Facility_155####Clinic####192 Elm St, City Z####@@@@
156####Facility_156####Hospital####781 Oak St, City U####@@@@
157####Facility_157####Clinic####299 Maple St, City T####@@@@
158####Facility_158####Hospital####667 Cedar St, City M####@@@@
159####Facility_159####Clinic####271 Birch St, City F####@@@@
160####Facility_160####Hospital####908 Pine St, City S####@@@@
161####Facility_161####Clinic####830 Cedar St, City O####@@@@
162####Facility_162####Hospital####663 Cedar St, City H####@@@@
163####Facility_163####Clinic####802 Oak St, City X####@@@@
164####Facility_164####Hospital####433 Birch St, City Y####@@@@
165####Facility_165####Clinic####910 Oak St, City W####@@@@
166####Facility_166####Hospital####895 Pine St, City I####@@@@
167####Facility_167####Clinic####258 Cedar St, City P####@@@@
168####Facility_168####Hospital####489 Pine St, City U####@@@@
169####Facility_169####Clinic####471 Pine St, City L####@@@@
170####Facility_170####Hospital####993 Elm St, City W####@@@@
171####Facility_171####Clinic####308 Elm St, City T####@@@@
172####Facility_172####Hospital####249 Birch St, City E####@@@@
173####Facility_173####Clinic####922 Oak St, City L####@@@@
174####Facility_174####Hospital####40 Maple St, City B####@@@@
175####Facility_175####Clinic####892 Elm St, City D####@@@@
176####Facility_176####Hospital####347 Oak St, City D####@@@@
177####Facility_177####Clinic####914 Oak St, City Y####@@@@
178####Facility_178####Hospital####279 Elm St, City R####@@@@
179####Facility_179####Clinic####393 Birch St, City C####@@@@
180####Facility_180####Hospital####138 Cedar St, City B####@@@@
181####Facility_181####Clinic####56 Pine St, City M####@@@@
182####Facility_182####Hospital####426 Elm St, City Y####@@@@
183####Facility_183####Clinic####992 Oak St, City T####@@@@
184####Facility_184####Hospital####881 Birch St, City O####@@@@
185####Facility_185####Clinic####447 Birch St, City K####@@@@
186####Facility_186####Hospital####366 Maple St, City A####@@@@
187####Facility_187####Clinic####951 Maple St, City M####@@@@
188####Facility_188####Hospital####638 Cedar St, City L####@@@@
189####Facility_189####Clinic####936 Cedar St, City D####@@@@
190####Facility_190####Hospital####448 Elm St, City P####@@@@
191####Facility_191####Clinic####753 Elm St, City H####@@@@
192####Facility_192####Hospital####150 Pine St, City J####@@@@
193####Facility_193####Clinic####934 Elm St, City S####@@@@
194####Facility_194####Hospital####186 Cedar St, City I####@@@@
195####Facility_195####Clinic####798 Cedar St, City G####@@@@
196####Facility_196####Hospital####648 Birch St, City R####@@@@
197####Facility_197####Clinic####691 Elm St, City Y####@@@@
198####Facility_198####Hospital####383 Oak St, City W####@@@@
199####Facility_199####Clinic####229 Oak St, City P####@@@@
200####Facility_200####Hospital####846 Cedar St, City V####@@@@
201####Facility_201####Clinic####306 Pine St, City S####@@@@
202####Facility_202####Hospital####96 Birch St, City S####@@@@
203####Facility_203####Clinic####522 Birch St, City S####@@@@
204####Facility_204####Hospital####52 Birch St, City S####@@@@
205####Facility_205####Clinic####170 Pine St, City B####@@@@
206####Facility_206####Hospital####757 Pine St, City G####@@@@
207####Facility_207####Clinic####839 Oak St, City R####@@@@
208####Facility_208####Hospital####195 Birch St, City P####@@@@
209####Facility_209####Clinic####946 Birch St, City N####@@@@
210####Facility_210####Hospital####678 Maple St, City P####@@@@
211####Facility_211####Clinic####110 Pine St, City E####@@@@
212####Facility_212####Hospital####432 Maple St, City Q####@@@@
213####Facility_213####Clinic####222 Pine St, City J####@@@@
214####Facility_214####Hospital####805 Elm St, City Y####@@@@
215####Facility_215####Clinic####404 Maple St, City D####@@@@
216####Facility_216####Hospital####520 Cedar St, City B####@@@@
217####Facility_217####Clinic####965 Pine St, City E####@@@@
218####Facility_218####Hospital####716 Pine St, City G####@@@@
219####Facility_219####Clinic####539 Pine St, City M####@@@@
220####Facility_220####Hospital####144 Maple St, City I####@@@@
221####Facility_221####Clinic####145 Cedar St, City Y####@@@@
222####Facility_222####Hospital####381 Pine St, City R####@@@@
223####Facility_223####Clinic####220 Birch St, City V####@@@@
224####Facility_224####Hospital####998 Elm St, City B####@@@@
225####Facility_225####Clinic####312 Elm St, City B####@@@@
226####Facility_226####Hospital####809 Birch St, City J####@@@@
227####Facility_227####Clinic####790 Oak St, City W####@@@@
228####Facility_228####Hospital####436 Pine St, City G####@@@@
229####Facility_229####Clinic####565 Birch St, City A####@@@@
230####Facility_230####Hospital####903 Oak St, City P####@@@@
231####Facility_231####Clinic####74 Birch St, City O####@@@@
232####Facility_232####Hospital####875 Pine St, City T####@@@@
233####Facility_233####Clinic####750 Elm St, City A####@@@@
234####Facility_234####Hospital####180 Birch St, City Q####@@@@
235####Facility_235####Clinic####524 Birch St, City V####@@@@
236####Facility_236####Hospital####733 Elm St, City T####@@@@
237####Facility_237####Clinic####641 Birch St, City U####@@@@
238####Facility_238####Hospital####19 Maple St, City A####@@@@
239####Facility_239####Clinic####107 Maple St, City R####@@@@
240####Facility_240####Hospital####31 Pine St, City A####@@@@
241####Facility_241####Clinic####993 Elm St, City P####@@@@
242####Facility_242####Hospital####497 Cedar St, City A####@@@@
243####Facility_243####Clinic####291 Cedar St, City P####@@@@
244####Facility_244####Hospital####772 Pine St, City Q####@@@@
245####Facility_245####Clinic####381 Oak St, City S####@@@@
246####Facility_246####Hospital####336 Birch St, City O####@@@@
247####Facility_247####Clinic####313 Elm St, City X####@@@@
248####Facility_248####Hospital####531 Maple St, City Q####@@@@
249####Facility_249####Clinic####577 Birch St, City G####@@@@
250####Facility_250####Hospital####654 Pine St, City M####@@@@
251####Facility_251####Clinic####977 Pine St, City K####@@@@
252####Facility_252####Hospital####517 Birch St, City B####@@@@
253####Facility_253####Clinic####365 Elm St, City R####@@@@
254####Facility_254####Hospital####831 Pine St, City K####@@@@
255####Facility_255####Clinic####433 Maple St, City I####@@@@
256####Facility_256####Hospital####357 Cedar St, City E####@@@@
257####Facility_257####Clinic####285 Maple St, City R####@@@@
258####Facility_258####Hospital####706 Elm St, City I####@@@@
259####Facility_259####Clinic####479 Elm St, City O####@@@@
260####Facility_260####Hospital####556 Pine St, City B####@@@@
261####Facility_261####Clinic####62 Pine St, City B####@@@@
262####Facility_262####Hospital####404 Cedar St, City H####@@@@
263####Facility_263####Clinic####801 Pine St, City O####@@@@
264####Facility_264####Hospital####888 Maple St, City O####@@@@
265####Facility_265####Clinic####592 Elm St, City V####@@@@
266####Facility_266####Hospital####121 Maple St, City Q####@@@@
267####Facility_267####Clinic####110 Pine St, City D####@@@@
268####Facility_268####Hospital####252 Birch St, City K####@@@@
269####Facility_269####Clinic####319 Birch St, City S####@@@@
270####Facility_270####Hospital####929 Cedar St, City U####@@@@
271####Facility_271####Clinic####859 Pine St, City V####@@@@
272####Facility_272####Hospital####341 Pine St, City D####@@@@
273####Facility_273####Clinic####524 Pine St, City C####@@@@
274####Facility_274####Hospital####11 Elm St, City Q####@@@@
275####Facility_275####Clinic####139 Birch St, City O####@@@@
276####Facility_276####Hospital####956 Elm St, City G####@@@@
277####Facility_277####Clinic####928 Pine St, City K####@@@@
278####Facility_278####Hospital####545 Elm St, City A####@@@@
279####Facility_279####Clinic####808 Oak St, City A####@@@@
280####Facility_280####Hospital####699 Birch St, City X####@@@@
281####Facility_281####Clinic####291 Cedar St, City C####@@@@
282####Facility_282####Hospital####962 Pine St, City W####@@@@
283####Facility_283####Clinic####339 Oak St, City J####@@@@
284####Facility_284####Hospital####755 Birch St, City A####@@@@
285####Facility_285####Clinic####604 Maple St, City N####@@@@
286####Facility_286####Hospital####830 Pine St, City G####@@@@
287####Facility_287####Clinic####672 Birch St, City N####@@@@
288####Facility_288####Hospital####537 Oak St, City V####@@@@
289####Facility_289####Clinic####194 Cedar St, City I####@@@@
290####Facility_290####Hospital####481 Elm St, City S####@@@@
291####Facility_291####Clinic####257 Maple St, City Y####@@@@
292####Facility_292####Hospital####284 Birch St, City S####@@@@
293####Facility_293####Clinic####333 Elm St, City G####@@@@
294####Facility_294####Hospital####493 Elm St, City X####@@@@
295####Facility_295####Clinic####145 Elm St, City N####@@@@
296####Facility_296####Hospital####86 Elm St, City F####@@@@
297####Facility_297####Clinic####462 Maple St, City J####@@@@
298####Facility_298####Hospital####407 Pine St, City W####@@@@
299####Facility_299####Clinic####602 Birch St, City I####@@@@
300####Facility_300####Hospital####538 Pine St, City K####@@@@
301####Facility_301####Clinic####379 Elm St, City E####@@@@
302####Facility_302####Hospital####395 Elm St, City I####@@@@
